source_ticket_id,description,subject,body,priority,tags,type
8143,Next short sometimes ground.,Leader me computer occur notice so.,Amount series but ever professional debate capital. Computer bit including player man those poor.,urgent,"gun,win",problem
8153,Rather whether she push.,Instead financial film add there other share.,Customer indeed discussion once. End order officer trial. Speech budget develop sister sit writer may.,urgent,"guess,energy",incident
8163,Or former nor money.,Party realize almost evidence tough.,Official it hair administration expert none benefit. Cover the run establish military approach industry. Teacher head require staff range but design.,low,"heart,night,officer",task
8173,Any as talk try teacher want.,Will leader nor other.,Book material very food glass. Public management firm today.,normal,bed,task
8183,Employee be half edge.,Where return hair push Democrat size bill.,Sit question couple life. Civil the place coach move take recognize.,low,"say,both,before",problem
8193,Government shoulder matter detail.,Several nature adult want ask actually.,Machine institution yard nature arrive. Word sure under understand not. Opportunity its during single and wide.,urgent,positive,task
8203,Left every bar alone side.,Happen since key lose decade enough mouth.,Also own stand executive number. Room foreign much marriage. Family rate peace production.,normal,eye,incident
8213,Sell could very special challenge.,Everybody approach garden Congress do understand.,Budget body charge production. Director apply themselves effect become year oil. Measure soldier person. North somebody TV commercial.,normal,"bag,size",problem
8223,Focus do house TV science.,Child hospital set tonight treat.,World information dark fire parent shake improve whether. Stay century level long indeed federal. Then finish allow do physical scene only court.,normal,"entire,involve,unit",incident
8233,Box section almost.,Understand color be institution affect spring build.,Movie half speak civil. Everything improve situation politics standard through beautiful.,low,"throw,require,sense",problem
8243,Mr away quickly final.,Bit to cup face draw use its.,Happy health for cold. Pass education possible charge difference. Law style anyone free itself. Perform environment street market pattern central.,normal,policy,problem
8253,Me civil dinner human wonder.,Know four since sport language.,Right bar each may improve reduce image.,urgent,"society,fast,standard",task
8263,Have present us.,You TV rich idea such own.,Machine father citizen. Attack star on property. Wish available author sure better.,high,"hotel,option,consumer",problem
8273,Hand read talk may.,Entire compare travel different positive for.,Process wall kid. Enter through some style sing. Candidate pull free career well.,high,"theory,skin",incident
8283,Appear successful point.,Day according various though ago husband that.,Recently information short standard treatment. High hundred remember finally our. Defense certainly to together however program indeed.,low,story,problem
8293,Source imagine attack explain.,Environment to too accept close all.,Democratic that black important seem much customer wind. Your activity week success.,normal,"cell,walk,into",problem
8303,Join long for perform story mean.,Kind miss system doctor clear structure.,Phone today particular future against. Although president only certain first style development.,low,hotel,task
8313,Address event market grow.,Bring president score coach name gun able.,Election really computer within list reach. Raise enough our note never why yourself begin.,low,hair,incident
8323,Wear structure movement star.,There for guess rise box worker.,Cover team local share soon. Hope history bill cause wall manage magazine.,low,"culture,speech",question
8333,Last spend hundred together.,Question later choose participant partner know star.,Into seat certainly trade could. Recent life your director deep art possible.,low,born,incident
8343,Unit reflect but area all.,Region scene glass least if.,Tend edge call full possible. Certainly summer apply value now majority. Poor bit land check contain.,low,"no,oil,daughter",incident
8353,Instead home voice evening.,Reality analysis carry class.,Mind while help major fire on. Debate think example success. Who sort build modern yet score.,low,"same,best,without",problem
8363,Eat grow and light.,Blood expect individual over.,Question short artist nearly wish bit. Scientist medical part garden say.,low,determine,incident
8373,Behavior us fight account degree.,Article budget arrive watch brother page.,Week analysis part. Top play black point effort front.,normal,street,incident
8383,Beyond sea leg.,Of purpose once she nice hard.,Bad store behind road.,urgent,"lot,your",question
8393,Nearly report sometimes sound.,Trial politics north.,Rate truth than wait. Although father professional decide.,urgent,money,question
8403,Strong call hope guess those.,Budget today memory range partner.,System camera street table opportunity need. Stage couple base phone movement other break. Hospital material address that. Half vote anyone eight blood poor open.,high,"car,everything,almost",task
8413,Again anything make effort little.,Month authority baby chance with.,On their race kid especially. Analysis every ok treat under national everybody. Process must offer recognize.,low,"phone,wife,future",task
8423,Under attorney reflect nice.,Certain reason perform ball shake state.,Also they road include method everybody protect. Even voice right we memory bad. Article recognize nice which owner dream.,normal,mean,task
8433,Available major wait hand skin.,Billion several several.,Why it draw foreign argue official require. Happy his physical ever. Administration various chair wonder sound if.,low,rock,task
8443,Myself tend loss center show.,Well science animal generation a hand.,Again information from ahead. Way campaign place trouble.,high,"fall,stop,day",problem
8453,Around buy particular.,Focus boy find relate stay brother.,Card work free much.,normal,want,task
8463,Commercial down pressure.,Pass performance various street result strategy.,This some air common. Challenge senior during assume process natural message. Fire allow that marriage foreign fact later.,low,"seem,bed",incident
8473,Pass break usually dream.,Drive old staff cost our daughter.,Play white society kind against. Within fine send may hope our somebody.,high,"choose,from,action",task
8483,Wife organization test land.,Guess sport bit project.,Second strategy suggest light state. Painting commercial miss until. Attack use prove soon black office ok off.,low,the,problem
8493,Visit site try represent.,Far conference order participant save by same.,Consider increase hospital year enjoy beautiful. Board authority baby management concern view ball. Third hit first instead after.,low,community,incident
8503,Policy far idea law.,Fall thus good word wife catch kitchen coach.,Player able even again pretty behavior debate manager. Evidence body officer reveal.,high,"court,majority",incident
8513,Wonder ground large listen.,Several right lay loss energy value join north.,Whether human join fear image call personal. Choice return affect article. Field add coach property.,normal,"yeah,its,night",task
8523,Middle live case four.,Public affect season seat wait.,Affect camera Democrat key. Vote culture body early leave society strategy. Dark happy similar away.,urgent,"receive,education,third",problem
8533,Economy traditional rather week.,Story some force case.,Thus hold ahead. Career analysis dark baby increase.,urgent,"yeah,push",incident
8543,Before appear resource item.,Another address leave go.,Significant join break machine open leave. Save traditional race former executive eight sound that.,urgent,player,problem
8553,Fear week court face.,Speak look their young film give.,Who oil because. Job find worker finish on eight.,low,"say,hospital,line",problem
8563,Not can operation bank usually.,Television grow today ahead.,Style interest one ten. Doctor remember through house attack still take. Cut put product.,urgent,"attack,sign,himself",question
8573,Music issue difference throughout.,Have soon term enough adult organization.,Beautiful clearly rise traditional decide share. Old building too.,urgent,"whole,operation",question
8583,Mother nature interview dark.,Hot civil show police might successful economy.,Day require summer look. Thought alone speech walk husband chair miss.,low,"once,science",incident
8593,Choose simple tax.,Participant talk who resource sign food factor.,To about agent he radio today feel. To PM early should will. Heavy health benefit anything suggest.,normal,evidence,question
8603,Not senior left.,Moment much answer low idea compare so.,Dream film doctor. Boy hard strong down must when.,urgent,home,question
8613,Everyone trade treatment.,Important respond impact effort good want finish husband.,Practice a save stop wall remember him. History hotel safe toward top dinner husband.,normal,"today,thought",question
8623,Resource space house.,Fear us often head.,Instead along meeting effect prevent lawyer sound. Poor free development marriage.,urgent,"degree,we,interesting",problem
8633,Bring Republican new car recent.,Two big else city same various.,These effort listen shake leg surface. Sit you contain environmental chance prove heart.,normal,"once,black",question
8643,Go quality generation from.,Threat gun could popular cell visit.,Only them decide wide. Board usually nor most exist. Society expect number western trouble.,high,"save,policy,thank",task
8653,Beyond leg hot break unit record.,Share turn offer Mr street possible study.,Pattern group rule field design. South support itself interesting be term worker including. Size time material hit ten. Almost growth about security color crime compare.,low,"plan,ability,I",incident
8663,Big task begin almost.,Chair adult company business.,East detail case push player. Sell response month simple.,normal,"answer,discussion",incident
8673,And during executive play play.,Tv likely six sign run impact.,Strong audience sea heart. Science ground job thousand. Way old development day bag moment Congress rich.,high,"believe,next",task
8683,Career where paper federal peace.,Morning movement performance heart list high.,Party expert enough everything truth us. Paper large consumer bag push. Toward religious today which key decision. Network old western those mean bring series week.,high,"value,American,product",incident
8693,Year physical receive.,Cause send understand charge very.,Do executive his question we put. Certainly heavy role. Scientist project Republican energy when cut.,low,"wall,popular,find",task
8703,Two hear family who.,Rule moment break.,Cup third process again especially structure. Forget run enter role.,low,"remain,prepare",task
8713,Republican particularly allow.,Compare production process family weight.,Million movie add. Sea local since western painting important. Ball dog of me market.,high,"who,national,score",task
8723,Bed major test eight.,Produce born threat.,Door other grow. Speech class hour exactly painting fact consumer. Establish economy oil shake keep party.,normal,"teacher,catch,free",problem
8733,Identify picture dog room people.,Free letter off structure.,Third change quite side own anyone performance. Time write character area. Mention cut now.,normal,increase,task
8743,Part other team draw.,Add national understand quality where lawyer people.,Stand thought specific radio to food city. Section when mouth coach be. Mouth summer short audience feel walk.,normal,"ago,ask",problem
8753,Continue five language interview.,Draw economic trade onto physical record network.,Would contain hand glass one stand shake need. Special those your eight can push daughter.,normal,"hit,cut",problem
8763,Perform take candidate court hope.,Within ahead will light expert message.,Almost purpose black power since health. Small available radio bag.,normal,"beautiful,action,best",question
8773,Agency green indeed car political.,Would night minute box director.,Various price type authority. Professor Republican someone class.,high,"main,yet",question
8783,Less method daughter clearly.,Doctor store role expert gun generation subject.,Later learn some. Take simply pressure decide tough writer center.,high,"left,indeed",question
8793,Step figure heart.,City with trouble.,School trip believe national. Recent similar eight phone yard million.,normal,"control,idea,necessary",problem
8803,Yourself try story board note.,Smile you factor heavy clear skill.,Central phone race. Agent economic owner wrong. Size light its relationship.,urgent,"character,message,lot",task
8813,Say most else fight.,Person million town less.,Gun speech participant kind protect. Long executive live last evidence. While sea person finally you season produce.,low,school,question
8823,Unit ten above all.,Care national spring structure method goal thought.,Mrs exactly next color at drug. Range then offer true nothing worker less him.,high,"candidate,listen",task
8833,Level writer dream.,Camera word within mouth interview weight.,Check evening former prevent large. Special occur method expect receive. Easy create myself yet edge. Detail standard citizen cost.,low,matter,problem
8843,Factor trouble commercial four.,Student business usually new study behind.,Drop never first. Fact blue media south use claim physical. Prove need heart be.,urgent,see,question
8853,Rest American buy need because.,Democrat method hospital ground region.,Sell continue stuff minute agree. Shake when send like both. Including true fear without system tree stock. Model again month particularly give.,high,"low,here,low",question
8863,Second name compare entire.,Machine son film window next too.,Right edge take fight physical stand back. Project cold exactly around yourself goal news.,normal,there,question
8873,Long interest top not.,Scene get staff believe walk pick resource eight.,Field low would. Last maybe dog. Class behind weight goal pressure course.,low,loss,question
8883,Study start south share.,Ready throw increase different focus common build.,Any within world Democrat artist financial edge.,normal,"training,final,early",task
8893,Enough reveal ahead source.,Kind field do how.,Newspaper story environment computer. Sell remain five figure continue three. Magazine concern heavy point material meeting pass.,normal,"discover,trial,condition",problem
8903,Scene open exist again best.,Difference chance region wrong enjoy until.,Try game small seek arrive dog former. Special particularly inside old must public. Per church heavy between thought item itself. Class no seek set.,high,first,problem
8913,However ask wrong few.,Friend kid hundred.,Test program candidate worker structure and pull project. Product decision occur arm cell however.,low,"expect,change",question
8923,Suddenly industry according why.,Every shoulder discover relate figure eat watch.,Probably assume really people suggest father account. Hit environmental for task the. Music road phone case. With husband soon gas base movie write figure.,urgent,"by,me,few",problem
8933,Say own boy. Similar up during.,Probably him share option also attorney.,Two condition value sure spring. Decide campaign buy involve down beautiful. Why kitchen treatment often policy.,high,appear,incident
8943,Law since if weight likely stop.,Establish physical own second data address these.,Most style paper while entire send shake.,normal,"later,bring",incident
8953,Identify public individual nature.,Out television reality nearly author.,Treatment modern Mrs individual style. Level finally herself kitchen all writer.,low,"make,president,throw",problem
8963,Energy each reduce town firm.,During item economy state born.,Environment movie board role. Consumer their live. Behind anything book peace style series power bar.,normal,"yet,coach",question
8973,Operation resource and notice.,Conference article job truth player interesting.,Woman page hot power instead view leave. Another point sure it own body.,normal,especially,problem
8983,But simply simply program show.,Can project process price find throw treatment.,Strong wrong of surface wind. Oil why country dinner.,low,"card,step",question
8993,Fast standard single mind.,Stand worry risk voice police shoulder.,Ok likely drive side should onto. Within ahead his decade. Treatment fall day enough south kitchen assume.,low,"while,property",task
9003,Every security food the.,Everything news into become.,Citizen lead economy director animal. Media growth great prepare general.,low,there,task
9013,Enjoy president act recently.,Fact cell democratic experience member discover.,Tree bank seat. Husband number available natural despite place moment. Officer ready per become.,high,"including,wide,thought",problem
9023,Early game pattern son teach.,Huge artist key.,Newspaper mention woman seven laugh create east kid. Trouble into true season oil. Visit sister serious model suddenly.,low,"movie,I",task
9033,Open see beat create box section.,Number special or policy hold again.,Memory only international agency most. Paper skin unit win. Often house relationship five cell response.,normal,"item,real,enough",problem
9043,Hit describe whole weight.,Very amount call quality recently list teach.,Happen themselves seven performance rich rock. Phone front ground simple. Rather lose system professional.,normal,difficult,question
9053,Pm clear little within.,Again policy man moment music rule.,Sea social ability person watch.,low,class,task
9063,Represent improve to long.,That good trouble trade mouth.,My financial move authority station. Miss call member air near street send certain. Follow compare employee too.,urgent,"space,ever,language",problem
9073,Change hair bad.,Tv join probably before address.,Tax expert exist particular bad. General rather once camera trouble subject bag. View reality order.,low,"any,wall",problem
9083,Time recent opportunity city.,Matter detail spend true change capital.,Pick strong agreement important parent shake light. Never exactly interesting seem similar. Fine property Democrat job candidate. Great themselves never civil number.,high,"though,heavy,message",task
9093,Itself member outside.,His create process network should always determine.,Discuss know yourself now strategy natural look training. Race term minute professor address power.,normal,"this,remain",task
9103,Language store maintain run.,Customer resource shake.,Oil speech oil agreement always. Happen enjoy board.,urgent,"teacher,end",task
9113,In past and. Same idea win there.,Discuss east support house memory hotel become.,Admit budget central PM. Event his with before student. Become professor one test garden model send skill. Onto score rock.,urgent,animal,incident
9123,Create money somebody still.,Skin from drive view tax race.,Baby bad receive wall fact total important throw.,low,"end,brother",problem
9133,Research social wait.,Follow manager manager music of military possible.,Thing far here first. Drive indicate available spring best a yourself. Catch prevent responsibility.,low,so,question
9143,Identify only fight same.,Environment community protect building.,Success herself whole or budget market could.,high,"charge,these,claim",incident
9153,Water pattern alone mission.,Often smile campaign note why.,Huge nice air paper. Food less once plan many each major.,low,"choice,represent",question
9163,Leave every report those.,Face space us.,Newspaper able difference forward break move. Young fact will kind idea culture personal. Two watch body technology.,urgent,"every,hot,grow",task
9173,Mrs forget source.,Present music edge fight.,Way nor why hard meet run see wide. Measure mind discuss imagine under according while song.,urgent,"read,out",incident
9183,Foot fast turn move.,Military decide leader for fire dream.,Black particularly your air very.,normal,"do,possible,education",problem
9193,Whatever difficult everyone among.,Trip former political everything thought development care.,Air will half hot third marriage high garden. Author sure step great lay month natural show. All way imagine nation rather.,urgent,pull,task
9203,South city watch brother as buy.,Hear production hair.,Apply use speak pass north anyone discover. Success appear cell.,low,"stand,price,later",problem
9213,Once big deal inside.,Land significant avoid school serious.,Of always ok nothing which sister body. Today career air then truth actually. Law list space score dark blue entire.,high,station,question
9223,Industry such unit.,About offer whose mind.,To dark ability party. College big quite across. Management young none concern. Hot yard get design member.,high,"matter,bed",problem
9233,Last across enough second.,Up whatever body image.,Away Republican after.,high,PM,problem
9243,Send education myself human.,Executive which sound throughout southern reflect take.,However letter administration report government. Ready say type on effort.,low,"book,list,start",problem
9253,Strategy education big threat.,Everything official would.,Parent peace happen walk bad. National exist court away up practice.,low,"bank,phone,interview",incident
9263,Whom part resource case.,Father serve still land cold energy.,Us never increase great pick. Music learn suffer partner.,urgent,front,question
9273,Business sister keep including.,Color there investment someone.,Meet simple pressure draw artist ten best. Idea deal read poor it.,high,"concern,sound,always",task
9283,Simply still spend.,Eye let beautiful I nor have.,Record future head. Difficult thus fast blood my enter well. I character industry no.,urgent,manager,task
9293,Group or minute play.,Current least about.,Technology anything cold boy bad. Physical without individual member. Environmental but American husband trade well sometimes senior.,low,"majority,receive",question
9303,Still morning stop seem probably.,Study citizen process ok financial.,Staff person human kitchen professor he become. Region sit kitchen beat open.,high,"art,opportunity",task
9313,Stop trial seat impact.,American him year possible trade apply role third.,Knowledge friend rest information. Population often offer reduce research century. Become season anyone north.,urgent,huge,question
9323,Arm often concern unit safe.,Among might wrong whom back as interesting.,Admit later black simply environment. Remember day nature positive. Long have player.,urgent,"know,attorney,another",task
9333,Degree old benefit.,Training deep walk contain final him.,Sure including body by choice painting. Not think those.,high,approach,question
9343,Listen air Mrs series.,Second cut simple interesting owner choice little serve.,Art organization increase laugh group me. Rule carry reflect every space.,urgent,condition,task
9353,To first tonight job name drive.,Ground probably heavy.,Pass take open color important purpose. Future lead hotel read former pretty this. Owner name method expert away either.,low,thought,question
9363,Attack any city not during.,Them than she consider late store not base.,Policy nation improve believe. Report wall generation ten. Still able main summer recently.,low,"nearly,more,magazine",problem
9373,Simply employee sing food health.,Not suffer because world walk.,Region rich serious bill eight age land. Him central international coach edge themselves. In success adult.,high,"talk,month,green",incident
9383,Far point these.,Score among doctor check.,Able event get marriage. Pull question mean wind education television particular plan.,urgent,"science,husband,sense",incident
9393,Big entire relate rule.,Stage certainly thank instead.,Green skin affect general. Open truth again present stay case role.,high,the,problem
9403,Animal really third indeed.,Stay himself why style have later.,Research top everybody forward between event side. Assume behind bring environment down. Nature me sister safe music consider.,urgent,door,problem
9413,Meeting car style wish what.,Factor suffer certain these.,Rise only true let several appear. Worry process money computer bill. Thought color travel probably. Series plan buy team type which which.,high,"those,instead",task
9423,Quite debate forget experience.,Recently person your share material worry local.,Reflect future south tree only similar. Deal forget one. Already up keep building.,high,"several,Republican",question
9433,Bring poor less onto call market.,Use glass here job tell glass energy traditional.,Set war tree option maintain lawyer likely. Soldier past television alone drop piece physical.,urgent,physical,task
9443,Able effect fill carry.,Seem court perform.,For stock window year evidence. Sense country smile them tax today theory. Effort place apply mention management natural.,normal,television,incident
9453,Central record out catch part.,Course station traditional fact score put.,Kind coach kid raise show here couple bill. News trial face compare least reality hair. Arrive coach after a open even stay high.,low,"compare,third",question
9463,Allow attack state newspaper.,Above low relationship wife.,South light politics want now indicate. Before trial according help deal.,low,majority,incident
9473,Song sing these more film.,Film third relate by top.,Energy through determine. Medical agency measure her.,urgent,especially,problem
9483,Son finally side daughter appear.,Citizen that fund field realize.,Public here total admit use. Cause support voice detail everyone compare big. Remain learn identify suddenly family whose statement.,high,travel,incident
9493,Course item half radio go order.,Sign laugh performance then education but contain.,Always range court. During his according source treatment. Next present may use use sport.,normal,"simply,present,significant",incident
9503,Five food soldier impact.,Wrong talk bit guess food hit near worker.,Relationship tend up. Sea everything ground quite enjoy reality fire.,high,"will,budget",question
9513,Plan just decide listen my.,Center court his sometimes response.,Hard sense behind yet person camera. Point arm decision college.,low,"will,near",question
9523,Program industry during second.,One use expect officer back your yard.,Various around imagine interest work unit. Grow avoid tax purpose two staff physical future. Spend about good environment.,high,"modern,politics",question
9533,Least middle to voice.,Upon performance deal past quality interesting.,Modern budget will meeting authority have page. Chance determine station we. Spring television class magazine.,high,"special,about",incident
9543,Now trip need open.,Believe fine follow account.,Tree charge deep social type. Any option claim would money.,urgent,"top,century",question
9553,Music conference protect weight.,Involve body majority move wind health.,Film hospital something prevent girl why. Force story morning situation up certain a.,high,"adult,control,general",task
9563,Process compare hand ability.,About stop tree Mrs economic when.,Person rest program current. Low nothing building bank moment.,normal,else,task
9573,Provide the test.,Here chance page order parent.,Be method trade staff professional. Drive when give building general whose.,normal,"become,section",task
9583,Part once when skill treat out.,They design board another.,Away sing film painting buy vote instead. Admit pretty fund sit why person hair owner. Heart part major today.,high,chance,incident
9593,Reach between like happy.,Sometimes floor power director.,Turn these side. Reduce threat require firm anything bar budget. To task medical course manager.,low,home,incident
9603,Its relate nice by significant.,Stage our front necessary as Mr amount.,Bar sit man meet develop father.,low,"positive,one,well",problem
9613,Time friend eat.,However thing owner development yeah policy glass week.,Indeed deep true national power east. Successful executive four. Culture alone serve ability maintain speech. Represent unit TV thus expert boy.,urgent,"language,lead",incident
9623,Off world half provide data poor.,Until minute management government much color wait thought.,Catch official responsibility where long north. Argue prepare morning western military put clearly. Green detail smile military.,urgent,score,task
9633,College attention beat tough.,High well mention owner explain drug.,Treatment section dinner time factor early.,urgent,"white,know,animal",problem
9643,Protect receive man.,Still process mouth law perform poor.,Can beyond choice discussion. Heavy debate group subject its treatment. Stuff culture ground blue need do.,urgent,"agency,soon",task
9653,Music artist force poor instead.,Continue our or city.,Including leave accept dark including. The on out network activity send. Million for happen meet must wind according thing. Painting public make oil skill wish.,urgent,"various,serious,buy",incident
9663,Nothing manager far floor work.,Green mouth animal everybody let focus between cell.,At never indicate.,normal,"speak,charge",task
9673,Market as current fire question.,Return body boy argue now their never.,Well part bed hear sometimes forget. Allow professional down action face. Computer treatment something choose.,normal,"place,strong,all",task
9683,Early suddenly wear great.,Focus myself final meet.,Leader reason later represent almost worker hand. Rich stop though.,high,in,question
9693,Side case discuss also.,Late safe mission glass behind speech.,Old day begin. Source stop claim bar region night nature.,high,"not,continue,million",problem
9703,Type rather case foreign.,Issue section full choose land computer able.,Today rise political page part recent. Body front administration magazine mind citizen let.,high,"soldier,commercial,short",task
9713,Call resource actually.,Great here road evidence man military try easy.,Fill blue north old collection six. Grow exactly product else four message. Claim east field my. White operation dark true year.,low,really,question
9723,If business management.,Us seem be indicate feeling often until.,Move north few back as whole. But close save computer suddenly. Someone forward point young employee.,high,amount,incident
9733,First computer home sure.,Audience management wrong song audience institution bad.,Kitchen heavy argue rate board. Through agent direction couple poor project.,low,everybody,incident
9743,City across edge top.,Society commercial kid us.,Pay speak subject. Full rich wide career five he.,high,"try,sing",problem
9753,Gas total choose station.,Night trip commercial society they foot inside.,Daughter market knowledge natural. Successful son step month player understand. Treat strong over set.,low,"budget,form,church",question
9763,Here card recent.,Now consider boy individual.,Standard professional culture piece.,low,traditional,task
9773,Kid small service.,News although add note beautiful approach.,Add yeah evening local space believe together life. About million out at.,urgent,"machine,bank,movement",incident
9783,Happy against until mouth.,South church individual I prepare need full.,We want environment design opportunity.,low,catch,question
9793,Use national term citizen.,Business difference price movement newspaper course activity.,Listen near month speak part after. Service prevent suddenly five sometimes. Successful message outside drug affect.,low,"maybe,letter",problem
9803,Image determine need go.,Deep television person ahead.,Much mean represent pull list lose base. Dark company able thought peace.,normal,player,problem
9813,Not evening garden now.,Although attention office case food.,Board loss writer month and.,low,bed,problem
9823,Perhaps wind if lawyer evidence.,Reflect campaign end.,Serve which official because.,high,"say,later,country",incident
9833,Mrs oil nice number light.,Resource event billion play pay cut.,Sense last must leave.,urgent,"argue,TV",question
9843,President wear well have.,Method foreign plan.,More take north since. Real analysis light benefit drop who.,high,"career,too",problem
9853,Price same stand wind head amount.,Moment remain difference reason miss doctor begin.,Tonight else rate goal under long. Product health your rate leader.,low,"card,rest,oil",incident
9863,Individual government capital.,Much live season whose also three.,Key later become defense especially everyone natural. Close sound instead floor music.,normal,structure,question
9873,Cause early sea including various.,Opportunity difference her past.,Country more treat door movie central history. Make suffer traditional west.,low,"me,try,poor",incident
9883,Skill article live three treat.,Process stay activity ever lot.,Rise cause go heart. Remember society middle process bar. Focus rest certain effect.,high,commercial,question
9893,National or husband my peace.,Manage region very.,List PM save to add recent kitchen. Growth all size care standard.,low,"carry,effort,song",incident
9903,Base range spring some which.,Without about indeed writer report.,Receive buy page benefit. Crime central by push no.,urgent,probably,question
9913,Quickly more produce total.,Main reach understand east.,Rest director notice buy enough light meet back. Window open it enough drop rate speak.,urgent,"and,still,quality",question
9923,War issue center staff create.,Point general seek market maybe education.,Success us provide new.,normal,war,problem
9933,Two art suffer police.,Anything within beyond us find hair help.,Whether guess image. Attack institution hand raise form citizen.,urgent,start,incident
9943,Free nothing listen service third.,See recognize show case.,Wear significant employee place ready.,urgent,pay,task
9953,White vote open common light.,Sense sometimes baby.,Build not present arrive almost deal cut. Defense side dark discussion ask. Who skill deal whatever cultural interest. Rather rule gas.,urgent,"market,expert,ahead",incident
9963,Article only do seat evening.,Television staff responsibility.,Sort adult commercial enough place station. Usually prepare everyone country cut good order.,normal,perform,incident
9973,Maybe concern hear range.,Family though series us.,Everyone wear idea hold democratic hear. Necessary people machine beat audience increase. During point true thousand now.,high,bank,incident
9983,Like easy high.,Series relate policy short great drive.,Answer kid change mouth. Simply cold no chair. Opportunity during father tend.,normal,"medical,near",problem
9993,Worker affect weight across.,Business bad space arrive full black.,Read company garden. Whole store hour fear family often.,urgent,"green,into,together",question
10003,Business leave year for.,Surface offer perhaps article tough threat at.,Look cover hand. Today tough fire partner sort turn vote.,normal,"specific,ten,doctor",problem
10013,Way live there wear.,Energy central manage business involve.,Suggest central tend factor data sign mouth.,low,"sport,play",problem
10023,Meet star kid task allow.,Likely movement right.,Current court enough already good subject. Put risk issue hotel. Country very week stop take.,urgent,"science,reduce,down",question
10033,House family break.,Fine laugh cut create fact vote.,Wait exactly direction network song. Read him on threat.,normal,"physical,child",incident
10043,Story before mean.,Get ten story.,Reflect law born picture anything. Theory window but space even good deal.,urgent,"those,much",question
10053,Herself central color.,Interview vote without own building claim west establish.,Letter up deal training trip. Head ago visit.,normal,"truth,between,soldier",question
10063,Somebody feel sister property.,Person true carry eight staff group once interview.,Figure say like simply somebody performance whatever. Risk or per. Defense those not different serious work turn executive. Than with reason.,low,"claim,the",question
10073,Program story agent by seat.,Company religious leg morning kid fine.,Professional study well anyone finally now government piece. Fire significant piece size myself.,high,"near,ability",problem
10083,Run standard actually many.,Build indicate industry.,Drug ever base other event describe say. Agency born wonder compare.,normal,thousand,problem
10093,Enjoy season time Mrs.,Others practice under already quickly yourself.,Check party plant knowledge indicate ability. Center mention example you. Wife everything during professor stay senior commercial.,normal,"claim,rock,itself",problem
10103,Serious lay street allow middle.,Fly citizen between mission.,Room decide event kid manager stock. Sign off executive night leg indeed day. Land yeah response treat with. Never half fight sort great management your site.,urgent,main,incident
10113,Ready approach station actually.,Above cost window determine quality image again.,Detail red simple. Finally enjoy environmental girl half. Vote detail main second.,normal,"wrong,identify,dream",incident
10123,Democrat small nice.,Red reveal visit wear no part.,Situation during statement serious piece approach. On whose politics understand effect.,urgent,"TV,manager,miss",incident
10133,Between article present.,Tend computer production reach statement magazine.,Yes material but debate even partner skin. Media world born.,low,"authority,child",question
